Year,Month,City_ID,Age_0_to_14_years,Age_15_to_64_yrs,Age_65_yrs_and_over,Age_85_yrs_and_over,Female,Male,Married_or_living_common_law,Not_married_and_not_living_common_law,FirstOfficialLanguage,English,French,English_and_French,Neither_English_nor_French
2023,2,7,375529,1843578,226854,61898,1378908,1326706,1314463,1015628,1,2502708,26002,14182,139292
2023,2,8,100760,398715,94551,12054,297470,296557,279894,213374,1,569908,5517,2727,11187
2023,2,9,144023,562805,147510,18418,431249,423096,390806,319511,1,805799,24257,3863,12773
2023,2,10,48459,164508,40697,5543,128355,125316,116589,88621,1,244255,2405,614,2892
2023,3,1,957510,4289779,1055462,139801,3223859,3078906,2932201,2413047,1,5887443,67692,47426,260905
2023,3,2,732864,2820118,809450,108767,2219535,2142891,1950022,1679541,1,905034,3045489,298351,67843
2023,3,3,278860,1018610,217040,23791,763155,751355,729449,506193,1,1442968,18791,6851,34391
2023,3,4,144819,597910,162389,21363,463717,441410,420010,340289,1,820156,48198,23860,14921
2023,3,5,271394,962396,219785,25545,731170,722412,673413,508766,1,1385518,24332,6427,24083
2023,3,6,72575,328614,87365,15431,171696,166306,234431,184381,1,470637,10372,1811,2580
2023,3,7,375695,1845178,224873,62029,1380360,1328243,1315961,1016954,1,2505638,26006,14178,139350
2023,3,8,100863,399247,94782,12078,297867,297026,280249,213781,1,570757,5514,2729,11218
2023,3,9,144162,563264,147849,18423,431676,423605,391207,319908,1,806755,24231,3874,12794
2023,3,10,48513,164562,40802,5552,128463,125420,116664,88705,1,244456,2403,614,2896
2023,4,1,957167,4292291,1057863,140103,3225964,3081371,2934324,2415837,1,5892123,67630,47372,260974
2023,4,2,733371,2821145,811130,108987,2221017,2144622,1951298,1680972,1,906732,3046276,299002,67918
2023,4,3,279072,1019104,217821,23848,763956,752040,730082,506834,1,1444436,18758,6839,34451
2023,4,4,143815,594253,161946,21316,461095,438926,417546,338652,1,819956,43955,23769,14918
2023,4,5,271738,962967,220481,25597,732028,723166,673973,509473,1,1387138,24293,6422,24132
2023,4,6,72722,329210,87660,14848,168656,163541,234941,184891,1,471665,10377,1819,2585
2023,4,7,375860,1846777,222892,62160,1381813,1329781,1317459,1018281,1,2508569,26009,14175,139407
2023,4,8,100967,399778,95012,12101,298264,297495,280605,214188,1,571607,5511,2730,11248
2023,4,9,144300,563724,148187,18429,432104,424114,391607,320306,1,807711,24206,3885,12816
2023,4,10,48566,164615,40907,5560,128571,125524,116738,88789,1,244656,2401,615,2899
2023,5,1,956824,4294802,1060264,140405,3228068,3083836,2936446,2418627,1,5896803,67568,47317,261042
2023,5,2,733877,2822172,812810,109207,2222499,2146353,1952575,1682402,1,908430,3047063,299653,67994
2023,5,3,279284,1019597,218602,23906,764757,752726,730715,507475,1,1445903,18726,6828,34511
2023,5,4,142810,590595,161502,21269,458473,436443,415082,337015,1,819756,39711,23679,14914
2023,5,5,272082,963538,221178,25649,732885,723920,674533,510181,1,1388758,24255,6416,24180
2023,5,6,72869,329807,87955,14266,165616,160776,235451,185401,1,472693,10383,1826,2591
